StationName,NLC,Operator,EntriesStandard,EntriesReduced,EntriesSeasons,ExitsStandard,ExitsReduced,ExitsSeasons,TotalEntriesandExits
FinchleyRd&Fl,1445,HP,11297,19991,8293,14651,20253,8293,82778
FinsburyPark,6119,HQ,143655,385390,697100,145109,371636,697100,2439990
Finstock,3012,HN,599,65,79,792,68,79,1682
FishbourneSsex,5261,HW,3176,7114,6310,5136,7750,6310,35796
Fishersgate,5284,HW,7479,19530,9843,16682,21670,9843,85047
FishguardHbr,4076,HK,2839,9923,0,3212,9902,0,25876
Fiskerton,6351,HG,1843,241,239,1926,244,239,4732
Fitzwilliam,8583,HC,19984,25497,1038,21139,23360,1038,92056
FiveWays,4503,HG,86281,59799,5400,92380,59072,5400,308332
Fleet,5522,HY,79452,144453,256584,75278,154091,256584,966442
Flimby,2026,HD,4268,889,775,4206,889,775,11802
Flint,2513,HD,23624,47973,10322,22351,48175,10322,162767
Flitwick,1532,HX,37731,123768,211841,28661,140501,211841,754343
Flixton,2935,HD,6267,11197,5643,4675,12855,5643,46280
FloweryField,2786,HD,12978,17938,8690,13212,20546,8690,82054
FolkestoneCtl,5035,HU,57485,191497,140427,58007,198797,140427,786640
FolkestoneWest,5027,HU,7858,9282,20398,6516,8353,20398,72805
Ford,5258,HW,5395,19658,6436,5100,19681,6436,62706
ForestGate,6876,HR,57791,115664,245509,42299,114923,245509,821695
ForestHill,5362,HW,114339,223377,462647,50933,244580,462647,1558523
Formby,2354,HE,68746,115044,1411,62527,120027,1411,369166
Forres,8638,HA,14831,9255,3369,15124,9274,3369,55222
Forsinard,8639,HA,249,477,0,265,476,0,1467
FortMatilda,9675,HA,12303,8176,7409,11641,8396,7409,55334
FortWilliam,8827,HA,39026,14841,0,31139,14800,0,99806
FourOaks,1042,HG,37206,45036,1016,35571,45048,1016,164893
Foxfield,2046,HD,1151,4344,508,1277,4463,508,12251
Foxton,7029,HQ,3525,5187,10910,5203,5912,10910,41647
Frant,5218,HU,6123,6267,28512,5730,7825,28512,82969
Fratton,5509,HY,126278,206394,73543,118202,200078,73543,798038
Freshfield,2355,HE,40975,66428,60,52058,84372,60,243953
Freshford,3344,HK,3472,3064,2184,4284,3067,2184,18255
Frimley,5683,HY,26621,37508,20574,25506,39064,20574,169847
Frinton,6854,HR,5787,37612,37757,5677,38616,37757,163206
Frizinghall,8556,HC,45886,19085,5038,37263,17444,5038,129754
Frodsham,2284,HD,19444,14707,2998,22905,14732,2998,77784
Frome,5707,HK,11717,15871,5874,12671,15955,5874,67962
Fulwell,5587,HY,21457,30683,51426,12254,34033,51426,201279
FurnessVale,2952,HD,2824,6244,2731,3053,6225,2731,23808
FurzePlatt,3144,HN,14031,15169,28427,15118,17145,28427,118317
GainsboroughCtl,6465,HC,1,17,0,0,17,0,35
GainsboroughLR,6424,HG,17350,6152,3267,18962,6148,3267,55146
Garelochead,9971,HA,878,513,5,1054,512,5,2967
Garforth,8474,HC,90801,40873,11067,78690,39822,11067,272320
Gargrave,2654,HC,4112,703,399,4308,704,399,10625
Garrowhill,9904,HA,73423,45961,34910,71213,45960,34910,306377
Garscadden,9979,HA,46017,24585,14423,45177,24587,14423,169212
Garsdale,2104,HC,4634,1549,237,4831,1559,237,13047
GarstonHerts,1559,HP,5818,12243,11885,2516,16794,11885,61141
GarstonMersey,2228,HE,24556,46549,656,28775,61666,656,162858
Garswood,2335,HD,26629,22920,1799,26456,22913,1799,102516
Garth,4148,HK,237,440,25,241,455,25,1423
Garth(Mid-Glamorgan),3961,HK,2032,3313,396,1723,3309,396,11169
Garve,8640,HA,1607,329,0,964,320,0,3220
Gathurst,2397,HD,5707,6801,3141,5420,6398,3141,30608
Gatley,2953,HD,19201,28850,12729,16592,31358,12729,121459
GatwickAirport,5416,HV,2248876,1388159,212078,2205277,1206679,212078,7473147
GeorgemasJn,8641,HA,240,263,0,233,263,0,999
GerrardsCross,3051,HO,86607,191746,142688,80803,191906,142688,836438
GideaPark,6877,HR,94995,141876,537497,66366,151061,537497,1529292
Giffnock,9794,HA,60470,51088,26650,66488,51090,26650,282436
Giggleswick,2655,HC,3790,961,468,4164,968,468,10819
Gilberdyke,8117,HC,14076,11173,10026,15993,11172,10026,72466
GilfachFargoed,4022,HL,1651,3290,2588,1918,3291,2588,15326
GillinghamDset,5796,HY,21205,75398,24461,19321,78076,24461,242922
GillinghamKent,5169,HU,119511,293129,369164,113091,308725,369164,1572784
GipsyHill,5363,HW,52925,129629,238484,29389,138431,238484,827342
Girvan,9501,HA,18997,9891,5795,21635,9894,5795,72007
Glaisdale,7921,HC,1393,1445,10760,1740,1443,10760,27541
GlanConwy,2454,HD,2347,96,9707,2606,97,9707,24560
GlasgowCentral,9813,HA,4027378,4272004,1741137,4252785,4270539,1741137,20304980
GlasgowCorkerhi,9627,HA,28560,18771,14027,28145,18771,14027,122301
GlasgowCrooksto,9628,HA,15086,11574,2680,16713,11573,2680,60306
GlasgowQueenSt,9950,HA,659117,355041,184985,109272,353769,32589,1694773
Glazebrook,2301,HD,5334,5728,4414,5432,6153,4414,31475
Gleneagles,8715,HA,3511,4536,552,4588,4650,552,18389
Glenfinnan,8828,HA,1589,164,0,1621,162,0,3536
Glengarnock,9503,HA,44591,41189,24106,54026,41198,24106,229216
GlenrotheswithThorn,9301,HA,5270,5787,3025,6248,5805,3025,29160
Glossop,2895,HD,51086,121950,40445,48918,120787,40445,423631
Gloucester,4760,HK,88665,227409,33105,90079,226921,33105,699284
Glynde,5338,HW,1812,7361,3719,3275,8251,3719,28137
Gobowen,4457,HG,16948,35289,3217,17530,35319,3217,111520
Godalming,5629,HY,79192,116015,208478,72736,128156,208478,813055
Godley,2948,HD,4310,6453,3768,4656,7173,3768,30128
GodleyEast,2954,HD,0,1,0,0,1,0,2
Godstone,5474,HW,5848,11983,12230,4298,15204,12230,61793
Goldthorpe,8284,HC,5371,10422,1153,5302,10473,1153,33874
GolfSt,9096,HA,14,9,0,45,9,0,77
Golspie,8643,HA,1684,516,0,1891,515,0,4606
Gomshall,5298,HN,1632,5023,2086,1369,5584,2086,17780
Goodmayes,6878,HR,55324,86930,338199,50371,88469,338199,957492
Goole,8025,HC,31401,42595,15756,31724,42655,15756,179887
Goostrey,1220,HD,4887,6128,817,5980,6146,817,24775
GordonHill,6028,HQ,38009,42459,150833,24976,42431,150833,449541
Goring&Strtley,3033,HN,31776,60342,74570,35380,63694,74570,340332
GoringBySea,5272,HW,17006,52076,80409,18833,54132,80409,302865
Gorton,2962,HD,10006,17766,4066,9287,19204,4066,64395
GospelOak,1409,HP,30909,37899,19037,28126,36872,19037,171880
Gourock,9635,HA,79775,55289,22741,81723,55266,22741,317535
Gowerton,4131,HK,1356,1362,148,1519,1357,148,5890
Goxhill,6206,HC,10781,74,1792,10623,75,1792,25137
GrangeOvrSands,1965,HD,24622,35434,5791,24701,35476,5791,131815
GrangePk,6029,HQ,19217,13258,38842,11706,13369,38842,135234
GrangetownCleve,7972,HC,1,2,0,0,2,0,5
GrangetownGlam,3839,HL,17890,17375,19090,20297,17385,19090,111127
Grantham,6469,HB,88461,138561,77037,93372,132999,77037,607467
Grateley,5514,HY,5389,6564,30754,4717,8060,30754,86238
GravellyHill,1132,HG,32274,35411,1807,32499,35426,1807,139224
Gravesend,5172,HU,108313,331567,338406,83092,355337,338406,1555121
Grays,7443,HT,149459,192796,546730,121169,207969,546730,1764853
GreatAyton,7922,HC,668,1777,0,751,1775,0,4971
GreatBentley,6855,HR,1967,20609,12000,1774,21329,12000,69679
GreatChesterfrd,7032,HQ,5141,4708,25950,8362,5435,25950,75546
GreatCoates,6275,HC,4424,8,542,3982,8,542,9506
GreatMalvern,4892,HG,79058,47952,43833,79330,48287,43833,342293
GreatMissenden,1463,HO,32830,53165,63624,32077,53352,63624,298672
Greatham,8005,HC,2,2,0,2,2,0,8
GreenLane,2218,HE,38980,53814,880,53301,110012,880,257867
GreenRoad,1996,HD,1161,897,740,902,1069,740,5509
Greenbank,2325,HD,20518,13758,4375,18076,13760,4375,74862
Greenfaulds,9725,HA,13550,10114,3371,12513,10114,3371,53033
Greenfield,2900,HD,11993,25250,6785,10814,26897,6785,88524
Greenhithe,5138,HU,14498,16716,62528,9636,21058,62528,186964
GreenockCentral,9681,HA,47426,45814,14330,48734,45765,14330,216399
GreenockWest,9682,HA,86846,72652,33255,86510,72385,33255,384903
Greenwich,5146,HU,113504,200554,284051,92734,200837,284051,1175731
GretnaGreen,9610,HA,1273,3409,309,1990,3405,309,10695
GrimsbyDocks,6276,HC,1444,61,495,2051,62,495,4608
GrimsbyTown,6280,HC,58840,93903,12025,59126,94397,12025,330316
Grindleford,2825,HD,8219,6058,132,8694,6111,132,29346
Grosmont,8155,HC,3233,4508,4577,2566,4511,4577,23972
GrovePark,5139,HU,115074,161562,468145,55330,187377,468145,1455633
GuideBridge,2955,HD,15813,21408,13945,16800,21937,13945,103848
Guildford,5631,HY,396541,1319811,760432,391168,1302090,760432,4930474
Guiseley,8567,HC,109551,97167,2128,99846,93022,2128,403842
Gunnersbury,5588,HP,156692,141442,147926,55503,138116,147926,787605
Gunnislake,3563,HK,6766,7386,2309,7308,7384,2309,33462
Gunton,7299,HS,2057,1208,42,1900,1211,42,6460
Gwersyllt,4300,HD,12919,1065,268,12688,1064,268,28272
GypsyLane,7930,HC,3841,453,76,3084,452,76,7982
Habrough,6281,HC,9065,3232,3479,9591,3384,3479,32230
Hackbridge,5364,HW,23169,49490,129394,14230,53507,129394,399184
HackneyCentral,6977,HP,22933,40213,43906,16713,40655,43906,208326
HackneyDowns,6867,HQ,53869,55277,87948,44433,55173,87948,384648
HackneyWick,6978,HP,1785,2347,3539,5863,2926,3539,19999
Haddenham&TPy,3053,HO,21362,36895,48535,21082,37099,48535,213508
Haddiscoe,7300,HS,1161,483,33,1293,487,33,3490
Hadfield,2896,HD,28540,60928,21659,22126,65547,21659,220459
HadleyWood,6075,HQ,15426,14894,36814,15306,15188,36814,134442
Hagfold,2585,HD,4731,9550,2979,3611,9809,2979,33659
Hagley,4577,HG,28883,9953,52209,27468,10003,52209,180725
Hairmyres,9810,HA,48468,30863,14016,43924,30860,14016,182147
Hale,2845,HD,15884,12761,6565,14211,13453,6565,69439
Halesworth,7266,HS,13442,4691,819,14075,4689,819,38535
Halewood,2295,HD,9595,7944,1487,7887,8817,1487,37217
Halifax,8411,HC,140983,202875,6934,143203,202737,6934,703666
HallGreen,4521,HG,22344,26388,475,23195,26531,475,99408
HallI'Th'Wood,2572,HD,5088,6176,4103,4480,7188,4103,31138
HallRoad,2229,HE,9018,17177,144,9028,19002,144,54513
Halling,5173,HU,7229,11949,7916,6773,14052,7916,55835
Haltwhistle,7568,HC,9018,12563,5199,10175,12565,5199,54719
HamStreet,5037,HU,3890,7473,14814,4096,10137,14814,55224
Hamble,5947,HY,4984,4919,4702,5323,6056,4702,30686
HamiltonCentral,9726,HA,121530,96185,35282,139422,96092,35282,523793
HamiltonWest,9727,HA,76296,50567,36137,65700,50563,36137,315400
Hammerton,8241,HC,4579,3947,2422,5099,3950,2422,22419
HampdenPkSsex,5450,HW,35475,61566,46493,39584,63010,46493,292621
HampsteadHeath,1413,HP,27885,54217,17012,30461,50792,17012,197379
HamptonCourt,5561,HY,53038,218643,123124,31974,217178,123124,767081
HamptonInArden,1033,HG,10289,9647,227,10325,9674,227,40389
HamptonLondon,5560,HY,39394,89988,121921,22673,95185,121921,491082
HamptonWick,5589,HY,38193,56582,72351,25894,60024,72351,325395
HamsteadBirmngm,1145,HG,17978,21353,342,19283,21324,342,80622
Hamworthy,5940,HY,11671,17284,11641,11894,17905,11641,82036
Handborough,3007,HN,10542,9205,3636,11506,9421,3636,47946
Handforth,2767,HD,34875,32030,19678,39957,32029,19678,178247
Hanwell,3191,HN,18456,23722,48616,11532,26240,48616,177182
Hapton,2557,HD,3469,3689,808,3755,3688,808,16217
Harlech,4458,HG,5761,8477,36486,5381,8462,36486,101053
Harlesden,1521,HP,38097,79983,71626,23360,75468,71626,360160
HarlingRoad,7374,HG,820,555,341,785,553,341,3395
HarlingtonBeds,1533,HX,14243,40424,56189,11515,44578,56189,223138
HarlowMill,6804,HQ,15460,12062,33713,15239,14007,33713,124194
HarlowTown,6827,HQ,137568,210753,237119,123910,223687,237119,1170156
HaroldWood,6879,HR,96509,147018,441098,91821,154179,441098,1371723
Harpenden,1543,HX,84166,289529,524276,67572,319781,524276,1809600
Harrietsham,5140,HU,3764,6373,12181,3235,7647,12181,45381
Harringay,6012,HQ,39538,30225,73376,17746,30500,73376,264761
HarringayStadum,7401,HP,9767,5099,2738,9226,5340,2738,34908
Harrington,2027,HD,5336,1741,2309,5418,1737,2309,18850
Harrogate,8213,HC,180551,237354,83451,188777,237316,83451,1010900
Harrow&Wldstne,1397,HP,98864,243715,235575,71510,248352,235575,1133591
Hartford,2230,HG,14800,33629,4136,15317,33799,4136,105817
Hartlebury,4579,HG,2204,228,4238,3170,358,4238,14436
Hartlepool,8009,HC,43196,52652,15049,46074,52671,15049,224691
Hartwood,9246,HA,3457,2153,587,3184,2157,587,12125
HarwichPQuay,6902,HS,5989,37753,16604,9690,38227,16604,124867
HarwichTown,6905,HR,989,8569,4347,1821,10578,4347,30651
Haslemere,5633,HY,85440,201999,310714,77522,221908,310714,1208297
Hassocks,5489,HW,30493,117761,234755,25925,130677,234755,774366
Hastings,5219,HU,73437,342464,103263,67249,346792,103263,1036468
HatchEnd,1398,HP,19993,58852,34154,19852,67997,34154,235002
HatfieldHerts,6070,HQ,108346,200632,160563,96126,211910,160563,938140
HatfieldPeverel,6845,HR,10090,28387,129144,8892,30700,129144,336357
Hathersage,2826,HD,11625,8812,118,9658,8737,118,39068
Hattersley,2604,HD,5300,8957,3107,5346,9433,3107,35250
Hatton,4594,HG,6169,2707,1191,7522,2888,1191,21668
Havant,5532,HY,170922,360261,193633,159035,369828,193633,1447312
Havenhouse,6260,HG,76,3,0,79,6,0,164
Haverfordwest,4079,HK,13279,33998,1847,13246,33772,1847,97989
Hawarden,2428,HD,9484,1475,549,10079,1480,549,23616
HawardenBridge,2146,HD,541,5,31,648,5,31,1261
Hawkhead,9634,HA,18152,14358,4176,17166,14357,4176,72385
HaydonBridge,7569,HC,4718,3236,2510,4011,3238,2510,20223
HaydonsRoad,5289,HW,9434,8343,36015,6507,9470,36015,105784
Hayes&Harlngtn,3186,HN,67682,187867,147698,55267,188791,147698,795003
HayesKent,5050,HU,34125,51597,189798,20488,59890,189798,545696
Hayle,3513,HK,8855,9683,103,10121,9782,103,38647
Haymarket,9419,HA,228797,130196,126903,120616,136539,126903,869954
HaywardsHeath,5490,HW,151428,518587,879167,145106,535473,879167,3108928
HazelGrove,2768,HD,44365,76945,26559,39848,77489,26559,291765
Headcorn,5220,HU,19141,59611,155340,14749,65357,155340,469538
Headingley,8498,HC,30723,20651,4773,36135,20774,4773,117829
HeadstoneLane,1434,HP,10981,24120,22743,9329,26410,22743,116326
HealdGreen,2860,HD,28307,51519,16341,25769,53260,16341,191537
Healing,6283,HC,4770,14,97,4396,15,97,9389
HeathHighLevel,3845,HL,19735,23458,15327,22374,23462,15327,119683
HeathLowLevel,3908,HL,7055,12884,3026,6639,12882,3026,45512
HeathrowAirport,5564,HY,198651,145658,8663,152586,147638,8663,661859
HeatonChapel,2861,HD,36391,51247,27033,32297,55545,27033,229546
HeatonPark,2956,MM,1,0,0,0,0,0,1
HebdenBridge,8524,HC,50771,70664,11223,53341,69548,11223,266770
Heckington,6220,HG,11306,971,1403,12567,989,1403,28639
HedgeEnd,5893,HY,20853,19290,36265,21076,20167,36265,153916
Hednesford,1148,HG,12364,28038,215,11999,28053,215,80884
Heighington,7887,HC,3477,351,518,3954,351,518,9169
HelensburghCtl,9981,HA,161499,150172,79685,152744,149724,79685,773509
HelensburghUpp,9982,HA,96,48,0,155,45,0,344
Hellifield,2656,HC,3946,580,203,4265,580,203,9777
Helmsdale,8647,HA,1059,416,0,2460,412,0,4347
Helsby,2149,HD,6125,5909,2426,5987,5935,2426,28808
HemelHempstead,1391,HP,99866,290813,204683,78103,320038,204683,1198186
Hendon,1522,HX,19080,48672,110155,22404,55401,110155,365867
Hengoed,4028,HL,8852,20218,9575,8351,20227,9575,76798
HenleyInArden,4524,HG,9761,13387,4420,9415,16060,4420,57463
HenleyOnThames,3146,HN,48415,104399,70895,41604,113598,70895,449806
Hensall,8129,HC,311,19,204,413,19,204,1170
Hereford,3607,HK,48648,171004,22262,47512,170322,22262,482010
HerneBay,5174,HU,26926,84533,165958,24698,88411,165958,556484
HerneHill,5066,HU,97214,163658,478196,79633,169599,478196,1466496
Hersham,5590,HY,42133,65235,102388,35482,72643,102388,420269
HertfordEast,6818,HQ,31596,29541,35598,6334,28534,35598,167201
HertfordN,6085,HQ,97607,136015,196234,112646,141553,196234,880289
Hessle,8067,HC,9725,1520,1777,11896,1523,1777,28218
Heswall,2138,HD,9479,2103,236,10022,2121,236,24197
Hever,5417,HW,190,2014,597,276,2438,597,6112
Heworth,7766,HC,14297,15930,1049,24511,10192,1049,67028
Hexham,7506,HC,57417,57308,19802,62581,57266,19802,274176
Heyford,3194,HN,3792,4285,4361,5473,4327,4361,26599
HeyshamHarbour,2691,HD,2609,6026,0,2111,6123,0,16869
HighBrooms,5235,HU,44413,72796,184812,42924,76545,184812,606302
HighStGlasgow,9909,HA,73858,64001,32623,74328,64001,32623,341434
HighWycombe,3054,HO,146496,346513,216446,134134,346895,216446,1406930
HighamKent,5202,HU,8033,13631,30626,5887,20860,30626,109663
HighamPk,6919,HQ,80876,90362,396623,57472,90426,396623,1112382
Highbridge,3314,HK,10219,18753,2122,12077,18818,2122,64111
Hightown,2356,HE,18782,29646,16,16373,32297,16,97130
Hildenborough,5236,HU,21276,26773,134709,15037,32463,134709,364967
Hillfoot,9983,HA,41015,23580,13374,50017,23580,13374,164940
HillingtonEast,9676,HA,24238,16392,15043,28367,16398,15043,115481
HillingtonWest,9630,HA,45123,14720,16862,47417,14720,16862,155704
Hillside,2231,HE,24251,34745,258,31583,36193,258,127288
Hilsea,5539,HY,36959,10624,23812,39547,10848,23812,145602
HinchleyWood,5591,HY,21766,28352,53323,11268,37767,53323,205799
HinckleyLeics,1870,HG,25740,42422,20076,27440,43875,20076,179629
Hindley,2398,HD,10647,22345,7278,9788,26156,7278,83492
HintonAdmiral,5880,HY,10213,17506,28668,11082,19559,28668,115696
Hitchin,6086,HQ,148476,258408,330870,134085,270115,330870,1472824
HitherGreen,5107,HU,115516,218207,500513,59682,239951,500513,1634382
Hockley,6880,HR,34384,130048,256369,30073,137470,256369,844713
Hollingbourne,5141,HU,1254,4734,8355,1310,7020,8355,31028
Hollinwood,2901,HD,4633,9496,2660,4921,10537,2660,34907
HolmesChapel,1221,HD,21632,21780,11060,22635,21849,11060,110016
HolmwoodSurrey,5308,HW,692,1938,4407,734,4141,4407,16319
HoltonHeath,5941,HY,3365,1180,2412,4249,1128,2412,14746
Holyhead,2437,HD,20422,55842,4667,20166,55466,4667,161230
Holytown,9738,HA,6679,6341,2035,7804,6339,2035,31233
Homerton,6979,HP,15470,23823,30836,11521,24928,30836,137414
Honeybourne,4794,HN,1878,3140,1604,1783,3351,1604,13360
Honiton,5717,HY,11276,67888,24501,10820,70465,24501,209451
Honley,8436,HC,10936,5452,289,9906,5225,289,32097
HonorOakPark,5418,HW,50625,91284,166360,23836,102555,166360,601020
Hook,5523,HY,38169,64485,80394,37165,76254,80394,376861
Hooton,2193,HE,58228,93189,1548,59457,103681,1548,317651
HopeClwyd,2432,HD,11390,595,327,11571,597,327,24807
HopeDerbyshire,2828,HD,6679,7207,513,7594,7212,513,29718
HoptonHeath,4189,HK,185,158,149,182,168,149,991
Horley,5365,HW,63339,140173,153102,57216,156125,153102,723057
HornbeamPark,8212,HC,49241,28869,35840,42017,28868,35840,220675
Hornsey,6015,HQ,38340,27259,93424,21983,27680,93424,302110
Horsforth,8499,HC,113597,80497,21306,115879,76268,21306,428853
Horsham,5309,HW,88669,267254,366751,89682,275057,366751,1454164
Horsley,5562,HY,25084,44713,79445,17506,54707,79445,300900
HortonInRibble,2105,HC,5697,1483,240,5771,1479,240,14910
Hoscar,2399,HD,593,672,77,546,679,77,2644
HoughGreen,2303,HD,28135,44287,5377,25477,43070,5377,151723
Hounslow,5563,HY,36500,43035,43005,30378,46325,43005,242248
Hove,5273,HW,69822,287500,267292,54617,289642,267292,1236165
HowWood(Herts),1563,HP,4961,10673,4685,1868,15236,4685,42108
Howden,8071,HC,3675,1184,6949,3565,1181,6949,23503
Hoylake,2194,HE,16548,36219,136,21923,46337,136,121299
HubbertsBridge,6221,HG,99,35,0,113,36,0,283
Hucknall,1862,HG,37005,36522,12124,33754,36681,12124,168210
Huddersfield,8437,HC,302088,491622,42622,318179,484630,42622,1681763
Hull,8126,HC,251672,439219,161658,237545,439913,161658,1691665
HumphreyPark,2937,HD,1855,1747,685,1516,2602,685,9090
Huncoat,2558,HD,2270,2307,563,2317,2308,563,10328
Hungerford,3072,HN,19307,27191,26927,26466,29132,26927,155950
Hunmanby,8098,HC,4481,4159,604,5632,4157,604,19637
Huntingdon,6108,HQ,61878,195275,252011,57550,203103,252011,1021828
Huntly,8921,HA,15530,3703,6179,16033,3701,6179,51325
HuntsCross,2235,HE,61565,76840,6052,62445,84887,6052,297841
HurstGreen,5463,HW,21919,53466,94433,16249,56820,94433,337320
HuttonCranswick,8099,HC,5803,6342,5807,5425,6340,5807,35524
Huyton,2160,HD,50750,117695,1130,49868,117671,1130,338244
HydeCentral,2829,HD,3738,6019,1356,4132,6404,1356,23005
HydeNorth,2959,HD,3004,2005,2421,2406,2546,2421,14803
Hykeham,6310,HG,3938,593,686,4252,603,686,10758
Hyndland,9845,HA,192832,110924,61413,193935,110924,61413,731441
HytheEssex,6851,HR,171,4006,5842,1504,4577,5842,21942
IBMHalt,9618,HA,12472,2161,6218,13420,2162,6218,42651
Ifield,5495,HW,21361,35859,43526,12972,40998,43526,198242
Ilford,6881,HR,196548,417416,692921,137818,433411,692921,2571035
Ilkley,8568,HC,121124,179089,6055,122065,176097,6055,610485
Ince&Elton,2122,HD,1048,61,5,1004,68,5,2191
InceManchr,2236,HD,1978,1553,702,1838,1799,702,8572
Ingatestone,6882,HR,28619,50547,156993,23589,56618,156993,473359
Insch,8922,HA,12951,4294,7597,13759,4287,7597,50485
Invergordon,8648,HA,1304,617,0,1648,619,0,4188
Invergowrie,8778,HA,285,65,798,542,65,798,2553
Inverkeithing,9136,HA,99972,117408,138743,97163,117364,138743,709393
Inverkip,9646,HA,4166,3980,1540,5142,3982,1540,20350
Inverness,8649,HA,99710,178718,9831,89190,178679,9831,565959
Invershin,8614,HA,93,85,0,126,85,0,389
Inverurie,8924,HA,26173,11521,13932,24721,11523,13932,101802
Ipswich,7217,HS,212806,367996,249448,206845,375452,249448,1661995
Irlam,2817,HD,17343,22098,6128,18559,24657,6128,94913
Irvine,9508,HA,117778,134975,45174,127359,135002,45174,605462
Isleworth,5592,HY,24972,29529,13273,28990,33553,13273,143590
Islip,3110,HN,3110,5861,2884,4024,5885,2884,24648
Iver,3170,HN,7235,8907,17904,12927,12628,17904,77505
Ivybridge,3555,HK,2666,4235,2584,3360,4254,2584,19683
JamesStLiverpl,2244,HE,74324,119463,2968,12506,31707,2968,243936
JewelleryQuarter,1097,HG,21365,16897,498,19390,17052,498,75700
JohnstonDyfed,4081,HK,320,664,26,343,660,26,2039
JohnstoneSclyde,9648,HA,159697,133550,71505,170554,133564,71505,740375
Jordanhill,9995,HA,42868,26268,23131,50157,26273,23131,191828
KearsleyManchr,2605,HD,3959,5432,1753,3406,6064,1753,22367
KearsneyKent,5038,HU,5039,6913,6921,5911,7438,6921,39143
Keighley,8468,HC,185713,149706,18424,186707,153727,18424,712701
Keith,8925,HA,15049,9683,2437,16586,9704,2437,55896
Kelvedon,6838,HR,15441,47500,247264,13934,53481,247264,624884
Kemble,3325,HK,22949,41756,16875,26824,42022,16875,167301
KempstonHardwk,1384,HP,113,495,700,228,315,700,2551
KemptonPark,5678,HW,133,4561,0,119,4584,0,9397
Kemsing,5079,HU,952,1027,1382,834,1332,1382,6909
Kemsley,5205,HU,7077,8698,11874,8005,9975,11874,57503
Kendal,1976,HD,19860,22913,4506,20395,23118,4506,95298
Kenley,5419,HW,16072,30231,78912,7896,32625,78912,244648
Kennett,7011,HS,1915,226,2147,1938,226,2147,8599
Kennishead,9816,HA,6396,3781,1453,8171,3781,1453,25035
KensalGreen,1447,HP,69594,132845,286160,22771,135877,286160,933407
KensalRise,1448,HP,13692,29235,13198,12097,31857,13198,113277
KensngtnOlympia,3092,HP,125637,103056,90766,41051,98251,90766,549527
KentHouse,5080,HU,27062,44048,137525,17889,49207,137525,413256
KentishTnWest,1449,HP,9638,17329,6161,10253,17628,6161,67170
KentishTown,1553,HX,6339,11938,24249,29801,18992,24249,115568
Kenton,1399,HP,23425,64109,27543,21432,65488,27543,229540
KentsBank,1966,HD,6315,3194,1297,5624,3207,1297,20934
Kettering,1857,HI,71067,133498,97306,76382,133609,97306,609168
KewBridge,5593,HY,20607,22582,6793,30165,21695,6793,108635
KewGardens,5594,HP,253422,224494,208802,117838,220441,208802,1233799
Keyham,3571,HK,2699,470,1075,2632,470,1075,8421
Keynsham,3237,HK,19909,12676,18220,20394,12834,18220,102253
Kidbrooke,5108,HU,41882,63131,170619,19678,68874,170619,534803
Kidderminster,4581,HG,72264,169305,102855,78246,171561,102855,697086
Kidsgrove,1229,HG,10935,6859,3838,11661,6887,3838,44018
Kidwelly,4132,HK,1452,2181,672,1710,2180,672,8867
KilburnHighRd,1415,HP,19607,29966,29735,17113,32003,29735,158159
Kildale,7516,HC,316,413,0,327,413,0,1469
Kildonan,8652,HA,88,20,0,61,20,0,189
Kilgetty,4083,HK,1300,2208,10,1595,2225,10,7348
Kilmarnock,9512,HA,52743,68141,26637,61296,68159,26637,303613
Kilmaurs,9516,HA,6531,6702,7961,6843,6695,7961,42693
Kilpatrick,9960,HA,26409,10975,2761,34338,10973,2715,88171
Kilwinning,9517,HA,117125,119562,73740,115518,119577,73740,619262
Kinbrace,8653,HA,241,97,0,194,98,0,630
Kingham,3008,HN,10660,31031,12768,10187,32608,12768,110022
Kinghorn,9142,HA,8012,9064,9791,8117,9063,9791,53838
KingsCrossMid,1427,HX,146095,405761,254621,119835,260100,254621,1441033
KingsLangley,1392,HP,26177,58639,76548,19191,67077,76548,324180
KingsLynn,7115,HQ,44923,127440,24444,39257,131377,24444,391885
KingsNorton,1109,HG,65682,72306,2286,69718,72352,2286,284630
KingsNympton,5823,HK,840,995,1579,887,995,1579,6875
KingsPark,9817,HA,25533,14423,8816,23568,14422,8816,95578
KingsSutton,4508,HO,5381,6527,2727,9711,6604,2727,33677
Kingsknowe,9217,HA,7231,2037,3757,6715,2037,3757,25534
Kingston,5565,HY,173872,629604,255394,206016,632589,255394,2152869
Kingswood,5366,HW,11613,14998,32840,13573,16238,32840,122102
Kingussie,8655,HA,4853,3810,62,4853,3925,62,17565
Kintbury,3073,HN,8524,9067,7027,14025,9615,7027,55285
KirbyCross,6862,HR,210,1901,6248,1610,2154,6248,18371
KirkSandall,6527,HC,9547,12447,2286,9548,12260,2286,48374
KirkbyinAshfield,1867,HG,19328,36560,6232,15748,36470,6232,120570
KirkbyInFurn,1959,HD,1898,3965,1301,1877,4229,1301,14571
KirkbyMerseysde,2124,HE,63017,121062,1028,75421,146775,1028,408331
KirkbyStephenW,2057,HC,7634,2443,1084,7512,2449,1084,22206
Kirkcaldy,9145,HA,77891,171994,69472,86769,171852,69472,647450
Kirkconnel,9518,HA,2083,2233,232,2220,2249,232,9249
Kirkdale,2245,HE,61538,86115,1966,47352,101953,1966,300890
